,anchor,arrow,Color,comments,edgeGroup,edgeID,geometry,node1_coords,node1_graphref,node1_x,node1_y,node2_coords,node2_graphref,node2_x,node2_y,matched_Node1_dist,matched_Node1,matched_Node2_dist,matched_Node2,matched_Node1_cat,matched_Node2_cat,matched_Node1_textlabel,matched_Node2_textlabel
0,[],['mim-catalysis'],#000000,[],,idd2940e49,"LINESTRING (683.4618171718752 468.26175578155824, 621.2178342953124 443.5424252659335)",POINT (683.4618171718752 468.26175578155824),fe9eb,683.4618171718752,468.26175578155824,POINT (621.2178342953124 443.5424252659335),f5ba2,621.2178342953124,443.5424252659335,0.0,fe9eb,0.0,f5ba2,,,CYP19A1,f5ba2
1,[],['mim-catalysis'],#000000,[],,idbfd39fd6,"LINESTRING (458.6599043593751 608.1424252659349, 359.909904359375 609.1424252659344)",POINT (458.6599043593751 608.1424252659349),ed627,458.6599043593751,608.1424252659349,POINT (359.909904359375 609.1424252659344),b8f6b,359.909904359375,609.1424252659344,0.0,ed627,0.0,b8f6b,,,HSD17B1,b8f6b
2,[],['mim-catalysis'],#000000,[],,idd60ea0dd,"LINESTRING (168.6599043593749 458.1424252659333, 279.409904359375 458.1424252659335)",POINT (168.6599043593749 458.1424252659333),c8903,168.6599043593749,458.1424252659333,POINT (279.409904359375 458.1424252659335),a8a4e,279.409904359375,458.1424252659335,0.0,c8903,0.0,a8a4e,,,STS,a8a4e
3,[],[],#000000,[],,id6c4a19b0,"LINESTRING (852.1216512420226 454.1312668927835, 953.7410520468745 506.50280782843333)",POINT (852.1216512420226 454.1312668927835),c3b3d,852.1216512420226,454.1312668927835,POINT (953.7410520468745 506.50280782843333),ea187,953.7410520468745,506.50280782843333,0.0,c3b3d,0.0,ea187,,,c3b3d,NADPH tetraanion
4,['f5ba2'],['mim-conversion'],#000000,[],,id90673804,"LINESTRING (768.5897875859373 381.14242526593335, 400.159904359375 537.1424252659338)",POINT (768.5897875859373 381.14242526593335),cfd4a,768.5897875859373,381.14242526593335,POINT (400.159904359375 537.1424252659338),a80ef,400.159904359375,537.1424252659338,0.0,cfd4a,0.0,a80ef,,,testosterone,Estradiol-17beta
5,['b378f'],['mim-conversion'],#000000,[],,idd54253f5,"LINESTRING (279.409904359375 692.642425265935, 279.409904359375 788.642425265935)",POINT (279.409904359375 692.642425265935),e7f1c,279.409904359375,692.642425265935,POINT (279.409904359375 788.642425265935),cf272,279.409904359375,788.642425265935,0.0,e7f1c,0.0,cf272,,,estrone,estrone sulphate
6,[],['Arrow'],#000000,[],,id725a25d7,"LINESTRING (400.159904359375 530.8924252659338, 867.6265035625011 209.78859964093343)",POINT (400.159904359375 530.8924252659338),a80ef,400.159904359375,530.8924252659338,POINT (867.6265035625011 209.78859964093343),d234a,867.6265035625011,209.78859964093343,0.0,a80ef,0.0,d234a,,,Estradiol-17beta,Estradiol-17beta
7,[],['mim-conversion'],#000000,[],,id9dd4e9d3,"LINESTRING (852.1216512420226 454.1312668927835, 953.7410520468763 406.1424252659333)",POINT (852.1216512420226 454.1312668927835),c3b3d,852.1216512420226,454.1312668927835,POINT (953.7410520468763 406.1424252659333),ff515,953.7410520468763,406.1424252659333,0.0,c3b3d,0.0,ff515,,,c3b3d,NADP trianion
8,['b8f6b'],['mim-conversion'],#000000,[],,idf88bcdf0,"LINESTRING (359.909904359375 667.642425265935, 359.909904359375 549.6424252659338)",POINT (359.909904359375 667.642425265935),e7f1c,359.909904359375,667.642425265935,POINT (359.909904359375 549.6424252659338),a80ef,359.909904359375,549.6424252659338,0.0,e7f1c,0.0,a80ef,,,estrone,Estradiol-17beta
9,[],['mim-conversion'],#000000,[],,idd41cddb3,"LINESTRING (279.409904359375 745.142425265935, 213.01666368749966 787.3489177190609)",POINT (279.409904359375 745.142425265935),b378f,279.409904359375,745.142425265935,POINT (213.01666368749966 787.3489177190609),a744f,213.01666368749966,787.3489177190609,0.0,b378f,0.0,a744f,,,b378f,PAP
